title,authors,publisher,publishedDate,description,genre,pageCount,averageRating,review_count,price,currency,language,popularity_score
The Autobiography of an Indian Princess,Maharani Of Cooch Behar Sunity Devee,Anson Street Press,2025-03-29,"Delve into the fascinating life of ""The Autobiography of an Indian Princess,"" Sunity Devee, a remarkable figure from Indian history. This autobiography offers a unique glimpse into the life of an Indian princess during a pivotal era of British rule. Sunity Devee's narrative provides invaluable insights into the social and political landscape of Koch Bihar and India as a whole. Experience a firsthand account of a life shaped by tradition and transformed by the winds of change. This historical biography sheds light on the complexities of identity, duty, and the evolving role of women in a society undergoing significant transformation. Discover the personal journey of a princess navigating a world caught between ancient customs and the burgeoning influence of British colonialism. ""The Autobiography of an Indian Princess"" is a timeless story of resilience and adaptation, offering readers a compelling perspective on a transformative period in Indian history. This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",Biography & Autobiography,0.0,0.0,0.0,0.0,Unknown,en,0.0
Famous Indians of the 21st Century,Vishwamitra Sharma,Unknown,2007-09,"This book spotlights more than 100 famous Indians of the 20th century. They range from eminent national leaders, scientists and social workers to artists,philosophers,entrepreneures and personalities from the world of entertainment.",,0.0,0.0,0.0,0.0,Unknown,en,0.0
Indian Local Names,Stephen Gill Boyd,Unknown,1885,Unknown,"Names, Geographical",96.0,0.0,0.0,0.0,Unknown,en,0.0
"The Indian Biographical Dictionary, 1915 (Classic Reprint)",C. Hayavadana Rao,Forgotten Books,2018-02-24,"Excerpt from The Indian Biographical Dictionary, 1915 It is inevitable that a work of this kind, passed through the press under difficulties and during intervals of time snatched from a busy working day, should contain some typographical errors. The errata issued will, it is hoped, tend to clear most of these. The Editor craves the indulgence of the public in this matter. Every practicable suggestion intended to improve the utility of the book will, the Editor wishes to add here, receive his best attention when the time comes to issue the next edition. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",Reference,620.0,0.0,0.0,0.0,Unknown,en,0.0
Gandhi Before India,Ramachandra Guha,Penguin Press,2014,"A first volume of a series detailing the life and work of the influential political advocate draws on private papers and other untapped sources to cover his birth in 1869 through his upbringing in Gujarat, discussing his London education and decades as a lawyer in South Africa.",Biography & Autobiography,0.0,0.0,0.0,0.0,Unknown,en,0.0
Chief Joseph,Chester Anders Fee,Unknown,2011-07-01,Unknown,,384.0,0.0,0.0,0.0,Unknown,en,0.0
Events in Indian History,James Wimer,Forgotten Books,2017-05-31,"Excerpt from Events in Indian History: Beginning With an Account of the Origin of the American Indians, and Early Settlements in North America, and Embracing Concise Biographies of the Principal Chiefs and Head-Sachems of the Different Indian Tribes A History of the indigenes of any country has for itself many claims, which attract the notice of the learned, and the lovers of literature, but especially can our own claim attention; so varied, great and romantic are the events which followed their discovery, that no one can turn from the page of their history without being wiser and better satisfied with the change which the God of Heaven and earth has mysteriously wrought among this people. The numerous tribes that were in existence when the first navigators arrived upon the soil of this continent, receiving the adventurers of an unknown land in the North and South, with demonstrations of joy and welcome, which could scarcely have been expected by the voyagers themselves from an uncivilised race; a race of men who never before looked in the face of a white man - who never before beheld the white sails of a vessel Speeding through the waters of their own wide and romantic rivers, -1 - these have passed away with the tide of civilisation, which has run its course in the same space of time westward of the Atlantic Ocean. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",Social Science,654.0,0.0,0.0,0.0,Unknown,en,0.0
Powerful and Influential Indian Revolutionaries Biographies (The Life and Times of Chandrashekhar Azad/ The Life and Times of Bhagat Singh/ The Life and Times of Subhash Chandra Bose),"Bharat Bhushan, Mahesh Sharma, Praveen Bhalla",Prabhat Prakashan,2023-10-01,"Powerful and Influential Indian Revolutionaries Biographies (The Life and Times of Chandrashekhar Azad/ The Life and Times of Bhagat Singh/ The Life and Times of Subhash Chandra Bose) by Bharat Bhushan, Mahesh Sharma, Praveen Bhalla: This compelling collection of biographies sheds light on the lives and contributions of three powerful and influential Indian revolutionaries - Chandrashekhar Azad, Bhagat Singh, and Subhash Chandra Bose. Each biography delves into the remarkable journeys of these iconic figures, showcasing their unwavering dedication to India's freedom struggle and their indomitable spirit in the face of adversity. The Life and Times of Chandrashekhar Azad: This biography presents a detailed account of Chandrashekhar Azad's life, his early revolutionary activities, and his leadership in the Hindustan Socialist Republican Association (HSRA). Readers will be immersed in Azad's fierce determination to resist British colonial rule, his daring acts of rebellion, and his tragic martyrdom at the tender age of 24. The Life and Times of Bhagat Singh: This biography explores the extraordinary life of Bhagat Singh, the revolutionary who fearlessly confronted the British Raj. Readers will discover Singh's passion for the country's freedom, his influential role in the HSRA, and his sacrifice in the pursuit of a free and independent India. The Life and Times of Subhash Chandra Bose: This biography delves into the life of Subhash Chandra Bose, one of India's most charismatic leaders. Readers will learn about Bose's role in the Indian National Congress, his founding of the Indian National Army (INA), and his efforts to rally support for India's independence on international platforms. Together, this collection of biographies pays tribute to the bravery and vision of Chandrashekhar Azad, Bhagat Singh, and Subhash Chandra Bose, inspiring readers to reflect on their immense contributions to India's struggle for freedom and their lasting impact on the nation's history. The authors - Bharat Bhushan, Mahesh Sharma, and Praveen Bhalla - are dedicated scholars and historians, passionate about preserving the legacy of India's revolutionary heroes. Through their collaborative efforts, they bring to life the inspiring stories of Chandrashekhar Azad, Bhagat Singh, and Subhash Chandra Bose, aiming to instill a deeper sense of pride and appreciation for these fearless leaders and their pivotal role in India's fight for independence.",Biography & Autobiography,282.0,0.0,0.0,6.4,USD,en,0.0
He Was a Brave Man,Lisa C. LaRue,Createspace Independent Publishing Platform,2010-02-08,"Many books have been written about Ned Christie; some portray him as an outlaw, some as a hero. But all focus on the 'killing' of Ned Christie, not what he stood for, what issues were going on at the time in the Cherokee Nation, and what made him a threat to the U.S. Government, New York syndicates and assimilated Cherokees. While this book recounts the life and death of Christie, it also takes a look at the times he lived in, and why his outspoken personality was so threatening. Also re-examined are the circumstances around his frame-up, arrest warrants, and effects upon his family and friends.",,52.0,0.0,0.0,0.0,Unknown,en,0.0
Chinese Monks in India,Yijing,Motilal Banarsidass Publishing House,1986-01-01,Unknown,"Body, Mind & Spirit",520.0,0.0,0.0,0.0,Unknown,en,0.0
Lives of Early Buddhist Monks,Saroj Kumar Chaudhuri,Unknown,2008,Unknown,Buddhist monks,224.0,0.0,0.0,0.0,Unknown,en,0.0
Biography and History of the Indians of North America;,"Samuel G. Drake, John Neilson, Josiah Drake, Antiquarian Institute, Kane & Co",Unknown,1835,Unknown,Indians of North America,544.0,0.0,0.0,0.0,Unknown,en,0.0
The Autobiography of An Indian Princess,Suniti Devi,Prabhat Prakashan,2018-07-07,"The Autobiography of an Indian Princess by Sunity Devee: ""The Autobiography of an Indian Princess"" offers a unique perspective on the experiences and challenges faced by Indian royalty during the colonial era. Sunity Devee, an Indian princess herself, provides a candid account of her life, shedding light on the cultural, social, and political dynamics of her time. Her autobiography serves as both a personal narrative and a historical document. Key Aspects of the Book ""The Autobiography of an Indian Princess"": Cultural Insight: Sunity Devee's autobiography provides valuable insights into the lives and struggles of Indian royalty during a period of significant change. Female Perspective: The book offers a rare female perspective on the challenges and opportunities faced by women in Indian aristocracy. Colonial India: Devee's narrative contextualizes the impact of British colonial rule on Indian society and the aristocracy. Sunity Devee (1867-1932) was an Indian princess and social reformer. Her autobiography not only reflects her personal journey but also her commitment to advocating for social change and the rights of women in colonial India.",Fiction,147.0,0.0,0.0,0.15,USD,en,0.0
Burgess Roye - Life & Work,"Ken J. Boone, Sr., Marilyn A. Boone",Unknown,2021-04,"This biography of World-renowned Ponca Indian artist Burgess Roye includes far more than his life and work as a Native American artist who succumbed to alcoholism, and but rose above the addiction to fame. The book is comprised of more than 50 art illustrations of his people of the past, of whom he refers to as 'The Ponca of Old'. He shares their stories, tales and legends in paint as told him by tribal elders. The period covered is from their forced removal from the Niobrara River basin in northern-most Nebraska through today. The stories in art depict His people, who were cruelly driven afoot some 600 miles to the Indian Territory--the barren plains of what is now the state of Oklahoma. More than half of the ancient Ponca tribe suffered death from heat stroke and exhaustion, disease and starvation before they were sufficiently stabilized on the White Eagle Reservation in 1879-- An unpublished story not unlike the Cherokee's 'Trail of Tears'.Each painting bears a priori--a story of its meanings and application to a deeply spiritual people. The intent of his life's work was not for riches and fame rather, to serve as admonition and encouragement to Native American youth. The message in essence, was to leave-off with anger and hatred of the descendants of those who were murderous marauders of Native Americans, and to seek higher levels of education and skills that are required to find peace and prosperity in the White-world.Thereafter, he shares stories, together with images, of his scores to trips to jail, but more so, the stories of his art painted on the jailhouse walls, which images remained today--presented with details herein, thanks to a Sheriff with insight. Near the end of the book, he shares knowledge of how to decode and decipher Indian art by its images and colors. It is a challenge to the readers to study repeatedly, his stories in art; then to apply the discoveries to reader's own life.",,0.0,0.0,0.0,0.0,Unknown,en,0.0
"History of the Indian Tribes of North America, with Biographical Sketches and Anecdotes of the Principal Chiefs, Embellished with One Hundred and Twenty Portraits from the Indian Gallery in the Department of War at Washington","Thomas Loraine McKenney, James Hall",Unknown,1978,"Both authors ... saw their book as a way of preserving an accurate visual record of a rapidly disappearing culture. The text, which was written by Hall based on information supplied by McKenney, takes the form of a series of biographies of leading figures amongst the Indian nations, followed by a general history of the North American Indians. The work is now famous for its color plate portraits of the chiefs, warriors and squaws of the various tribes, faithful copies of original oils by Charles Bird King painted from life in his studio in Washington (McKenney commissioned him to record the visiting Indian delegates) or worked up by King from the watercolors of the young frontier artist, James Otto Lewis. All but four of the original paintings were destroyed in the disastrous Smithsonian fire of 1865, so their appearance in this work preserves what is probably the best likeness of many of the most prominent Indian leaders of the early 19th century. -- Reese.",Indians of North America,636.0,0.0,0.0,0.0,Unknown,en,0.0
Elias Cornelius Boudinot,James W. Parins,U of Nebraska Press,2006-01-01,"Elias Cornelius Boudinot provides the first full account of a man who was intimately and prominently involved in the life of the Cherokee Nation in the second half of the nineteenth century and was highly influential in the opening of the former Indian Territory to white settlement and the eventual formation of the state of Oklahoma. Involved in nearly every aspect of social, economic, and political life in Indian Territory, he was ostracized by many Cherokees, some of whom also threatened his life. Born into the influential Ridge-Boudinot-Watie family, Boudinot was raised in the East after the assassination of his father, who helped found the first newspaper published by an Indian nation. He returned to the Cherokee Nation, affiliating with his uncle Stand Watie and serving in the Confederate Army and as a representative of the Cherokees in the Confederate Congress. He was involved with treaty negotiations after the war, helped open the railroads into the Indian Territory, and founded the city of Vinita in Oklahoma. He also became a political figure in Washington, DC, a newspaper editor and publisher, and a prominent orator.",Biography & Autobiography,271.0,0.0,0.0,0.0,Unknown,en,0.0
Representative Indians (Classic Reprint),Govinda Paramaswaran Pillai,Forgotten Books,2017-05-06,"Excerpt from Representative Indians Dr Bhau Daji, Some Noted Indians of Modern Times, and Sketches of Indian Christians. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",Biography & Autobiography,420.0,0.0,0.0,0.0,Unknown,en,0.0
History of the Indian Tribes of North America,"Thomas Loraine McKenney, James Hall",Unknown,1870,Unknown,Americana,394.0,0.0,0.0,0.0,Unknown,en,0.0
Biography and History of the Indians of North America,Samuel G. Drake,Unknown,1836,Unknown,Indians of North America,547.0,0.0,0.0,0.0,Unknown,en,0.0
Events in Indian History,,Unknown,2018,Unknown,Indian captivities,658.0,0.0,0.0,0.0,Unknown,en,0.0
Biography of Rajguru,Kavita Garg,Prabhat Prakashan,2021-02-01,"""Biography of Rajguru: Inspirational Biographies for Children"" by ***** Garg is a captivating account of the life and sacrifices of the Indian revolutionary, Shivaram Rajguru. This book introduces young readers to Rajguru’s unwavering bravery, his deep patriotism, and his role in India's struggle for independence. Through engaging storytelling, the biography sheds light on his early years, his firm belief in India’s freedom, and the courageous actions that made him a revered figure in Indian history. ***** ""A powerful and well-written biography that brings Rajguru’s bravery to life. The storytelling is engaging, making it easy for young readers to understand the sacrifices made for India's freedom. An inspiring read for children!"" ***** ""This book does a great job of making history accessible to kids. Rajguru’s story is told in a way that is both informative and exciting. While I wished for more details on his personal life, it’s still a fantastic introduction to his legacy."" ***** ""A must-read for young history enthusiasts! The book is well-structured and highlights Rajguru’s role in the independence movement with clarity. Some parts could have been explored further, but overall, it’s an inspiring biography."" ***** ""The book provides valuable insight into Rajguru’s life, though it could have been a bit more detailed in certain aspects. Still, it serves as a good starting point for kids interested in learning about India's freedom fighters."" ***** ""An outstanding biography that captures the essence of Rajguru’s patriotism and sacrifice. The narrative is simple yet compelling, making it an excellent read for children looking to understand India's history. Highly recommended!""",Biography & Autobiography,15.0,0.0,0.0,0.22,USD,en,0.0
The History of British India,John F. Riddick,Bloomsbury Publishing USA,2006-04-30,"This book is a history of British India from 1599 to 1947. It is divided into three parts addressing political history, topical studies, and a collection of four hundred biographies of noteworthy English men and women who played a role in the creation of British India. As the Elizabethan era approached its end, English life exuded a high sense of energy and optimism that drove men to the ends of the earth. The lure of wealth in the spices of the East Indies correlated well with English naval strengths. In London, the East India Company set the national vision of competition with the Portuguese, Dutch and French while in India it developed the ports of Madras, Bombay, and Calcutta. Britain dominated India's political landscape for over 300 years, yet in the twentieth century, the emergence of Gandhi and his use of civil disobedience shook the British government to its foundations. By March 1947, Lord Mountbatten had little more choice than to grant Indian independence or see it taken by Indians themselves.",History,385.0,0.0,0.0,90.0,USD,en,0.0
Autobiography of an Indian Princess,Devee Sunity (author),Unknown,2021,Unknown,,0.0,0.0,0.0,0.0,Unknown,en,0.0
Sitting Bull,Bill Yenne,Unknown,2009-03,"Sitting Bull's name is still the best known of any American Indian leader, but his life and legacy remain shrouded with misinformation and half-truths. In Sitting Bull, Bill Yenne follows the history of this remarkable man from a headstrong youth and his first contact with encroaching settlers, through his ascension as the spiritual and military leader of the Lakota, and death at the hands of the Indian police on the eve of the massacre at Wounded Knee. In Sitting Bull we find a man whose life spanned the destruction of his peoples' culture, and whose greatest legacy was to help ensure their survival in the face of an uncertain future.",Dakota Indians,0.0,0.0,0.0,0.0,Unknown,en,0.0
An Ordinary Life,Ashok Lavasa,HarperCollins,2021-07-21,". The world consists mainly of ordinary people leading simple lives. Their stories remain unheard as they haven't been written about. But their lives inspire because they are a vindication of certain lasting values that survive in every society and keep us connected with the unseen forces that govern us. In An Ordinary Life, former Election Commissioner of India Ashok Lavasa tells one such warm story. He weaves the experiences of his father, Udai Singh, into the narrative of a fast-changing India to show how his Bauji's principles served as a moral compass in his life - and can in ours too. Through a series of incidents, he explores the virtues of honest living and illustrates that it is possible to prosper in a world of rising aspirations and cut-throat competition while preserving one's ideals. Reflective and philosophical, An Ordinary Life is imbued with the grounded wisdom of an earlier Indian generation and its way of life, which is both ordinary and extraordinary, unique and universal at the same time",Biography & Autobiography,272.0,0.0,0.0,14.99,USD,en,0.0
"The Golden Book of India, a Genealogical and Biographical Dictionary of the Ruling Princes, Chiefs, Nobles, and Other Personages, Titled Or Decorated, of the Indian Empire",Roper Lethbridge,Arkose Press,2015-10-20,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",,672.0,0.0,0.0,0.0,Unknown,en,0.0
No Foreign Land,"Wilfred Pelletier, Ted Poole",McClelland & Stewart,1973,Unknown,Indians of North America,212.0,0.0,0.0,0.0,Unknown,en,0.0
GOLDEN BK OF INDIA A GENEALOGI,Roper (Sir) 1840-1919 Lethbridge,Unknown,2016-08-26,Unknown,History,668.0,0.0,0.0,0.0,Unknown,en,0.0
Great Men Of India,Laurence Frederic Rushbrook Williams,Unknown,1996-05-01,"Whether of the past or of the present. India s great men are such as would do honour to any country known to history. This book is an attempt to tell the study of some of the greatest men who have made and are making Indian history. The subjects of this book are divided into eight sections, viz. RULERS AND GREAT LEADERS, STATESMEN AND POLITICIANS, REFORMERS AND RELIGIOUS LEADERS, AUTHORS POETS, SCIENTISTS, EDUCATIONISTS, JUDGES, and INDUSTRIAL PIONEERS, according to the varied manifestations of their genius. They have covered the men who made the India of the past with its rich culture, its deep philosophical wisdom and its stiring examples of courage and chivalry and also the men of today who are taking the best from the past and making a foundation on which to build an ever greater India of the future. Though there has been no attempt to make this book in any way a history of India, one cannot study the lives of her GREAT MEN over a period of more than two thousand years with out learning much of her history and progress. Thus it is that the biographies in this book serve to illuminate and in some sort even to recount the history of the land in which they lived. Yet the reading of this book is as interesting as the reading of a novel. The book comprises contributions of the greatest authorities on their respective subjects and is profusely illustrated with authentic photographs.",India,640.0,0.0,0.0,0.0,Unknown,en,0.0
Indian Children's Favorite Stories,Rosemarie Somaiah,Tuttle Publishing,2020-04-14,"This colorfully illustrated multicultural children's book presents Indian fairy tales and other folk stories that the whole family will enjoy! Indian Children's Favorite Stories is a charming selection of eight Indian tales that provide an insight into traditional Indian culture. They make perfect new additions for story time or bedtime reading. Retold for an international audience, the beautifully illustrated stories will give children of all ages a glimpse into the fables and folklore of India, including tales of how Lord Krishna escapes the evil Kamsa's repeated attempts to kill him, and how the elephant keeper's daughter, Rani, humbles an unwise and unjust king by emptying his storehouses of rice. Featured Indian stories include: The Story of Rama, the ancient Indian tale of a prince's exile and return to his homeland Sukhu and Dukhu, two sisters--one kind, one selfish--and their different fates Munna and the Grain of Rice, how a good and clever girl saves her people from hunger And five more wonderful tales to delight story lovers everywhere. A glossary is also included, so that everyone can understand and appreciate the Indian words scattered throughout the stories. The Children's Favorite Stories series was created to share the folktales and legends most beloved by children in the East with young readers of all backgrounds in the West. Other multicultural children's books in this series include: Asian Children's Favorite Stories, Indonesian Children's Favorite Stories, Japanese Children's Favorite Stories, Singapore Children's Favorite Stories, Filipino Children's Favorite Stories, Favorite Children's Stories from China & Tibet, Chinese Children's Favorite Stories, Korean Children's Favorite Stories, Balinese Children's Favorite Stories, and Vietnamese Children's Favorite Stories.",Juvenile Fiction,73.0,0.0,0.0,14.99,USD,en,0.0
Indian Children's Books,,Unknown,1973,Unknown,"Children's stories, Indic",0.0,0.0,0.0,0.0,Unknown,en,0.0
One Hundred and One Indian Children's Books We Love!,"Anita Roy, Samina Mishra",Unknown,2013,Unknown,Children's literature,163.0,0.0,0.0,0.0,Unknown,en,0.0
Stories Of Indian Children,Mary Hall Husted,Unknown,2023,Unknown,Juvenile Fiction,0.0,0.0,0.0,0.0,Unknown,en,0.0
Contemporary English-Language Indian Children's Literature,Michelle Superle,Routledge,2011-05-09,"Concurrent with increasing scholarly attention toward national children’s literatures, Contemporary English-language Indian Children’s Literature explores an emerging body of work that has thus far garnered little serious critical attention. Superle critically examines the ways Indian children’s writers have represented childhood in relation to the Indian nation, Indian cultural identity, and Indian girlhood. From a framework of postcolonial and feminist theories, children’s novels published between 1988 and 2008 in India are compared with those from the United Kingdom and North America from the same period, considering the differing ideologies and the current textual constructions of childhood at play in each. Broadly, Superle contends that over the past twenty years an aspirational view of childhood has developed in this literature—a view that positions children as powerful participants in the project of enabling positive social transformation. Her main argument, formed after recognizing several overarching thematic and structural patterns in more than one hundred texts, is that the novels comprise an aspirational literature with a transformative agenda: they imagine apparently empowered child characters who perform in diverse ways in the process of successfully creating and shaping the ideal Indian nation, their own well-adjusted bicultural identities in the diaspora, and/or their own empowered girlhoods. Michelle Superle is a Professor in the department of Communications at Okanagan College. She has taught children’s literature, composition, and creative writing courses at various Canadian universities and has published articles in Papers and IRCL.",Literary Criticism,228.0,0.0,0.0,70.99,USD,en,0.0
Ecological Messages in Indian Children’s Literature,Shobha Ramaswamy,Ukiyoto Publishing,Unknown,"ECOLOGICAL MESSAGES IN INDIAN CHILDREN’S LITERATURE:CONVERSATIONS WITH THE CREATORS -----Dr.Shobha Ramaswamy Indian writing in English for children and young adults has come of age, with a plethora of talented and dedicated writers contributing their creative efforts towards the growth of this new field. The book is based on the author’s interviews with the creators of English-language fiction for the young in India. Specially selected are those who have a deep love for nature. Writers, illustrators, publishers, editors and also environmentalists have been interviewed. The University Grants Commission, New Delhi’s grant of a Major Research Project to the author made these interviews possible. The galaxy of those interviewed include: Meeting the Authors • Nilma Sinha • Ira Saxena • Shamim Padamsee • Shobha Tharoor Srinivasan • Benita Sen • Deepak Dalal • Zai Whitaker • Ranjit Lal • Leela Gour Broome • Sreekumar Varma • Sandhya Rao • Dr.Graeme Macqueen • Ken Spillman • Anushka Ravishankar • Asha Nehemiah • Harini Gopanswami Srinivasan • Radha H.S. • Sowmya Rajendran • Niveditha Subramaniam • D.Ronald Hadrian Views of the Illustrators • Ashok Rajagopalan • Maya Ramaswamy • Priya Kuriyan • Januka Deshpande What the Editors and Publishers Have to Say • Himanshi Sharma, TERI Books, New Delhi • Maegan ,Tara Publishers,Chennai • Mala Kumar, Pratham Books, Bangalore • Saraswathy Rajagopalan, Mango Books, Kochi • Shobha Viswanath,Karadi Tales,Chennai • Mini Krishnan, Editor ,OUP,Chennai. • Sandhya Rao,author and former editor, Tulika,Chennai) Some Suggestions from Environmentalists • Payal B.Molur (Author and Wildlife Educator) ‘OSAI’ Kalidas, Conservat",Fiction,135.0,0.0,0.0,2.99,USD,en,0.0
The Essential Guide to Children's Books and Their Creators,,Houghton Mifflin Harcourt,Unknown,"Upon publication, Anita Silvey’s comprehensive survey of contemporary children’s literature, Children’s Books and Their Creators, garnered unanimous praise from librarians, educators, and specialists interested in the world of writing for children. Now The Essential Guide to Children’s Books and Their Creators assembles the best of that volume in one handy, affordable reference, geared specifically to parents, educators, and students. This new volume introduces readers to the wealth of children’s literature by focusing on the essentials — the best books for children, the ones that inform, impress, and, most important, excite young readers. Updated to include newcomers such as J. K. Rowling and Lemony Snicket and to cover the very latest on publishing and educational trends, this edition features more than 475 entries on the best-loved children’s authors and illustrators, numerous essays on social and historical issues, thirty personal glimpses into craft by well-known writers, illustrators, and critics, and invaluable reading lists by category. The Essential Guide to Children’s Books and Their Creators summarizes the canon of contemporary children’s literature, in a practical guide essential for anyone choosing a book for or working with children.",Reference,564.0,4.5,2.0,0.0,Unknown,en,9.0
Suggestive List of Children's Books for a Small Library,Wisconsin Free Library Commission,Unknown,1910,Unknown,Children,130.0,0.0,0.0,0.0,Unknown,en,0.0
The Continuum Encyclopedia of Children's Literature,"Bernice E. Cullinan, Diane Goetz Person",A&C Black,2005-01-01,"Provides articles covering children's literature from around the world as well as biographical and critical reviews of authors including Avi, C.S. Lewis, J.K. Rowling, and Anno Mitsumasa.",Literary Criticism,930.0,0.0,0.0,0.0,Unknown,en,0.0
550 Children's Books,,Unknown,1910,Unknown,Bibliography,32.0,0.0,0.0,0.0,Unknown,en,0.0
Realms of Gold in Children's Books,Bertha E. Mahony Miller,Unknown,1929,Unknown,Adventure and adventurers,832.0,0.0,0.0,0.0,Unknown,en,0.0
Children's Books and Their Creators,Anita Silvey,Houghton Mifflin Harcourt,1995,"Unique in its coverage of contemporary American children's literature, this timely, single-volume reference covers the books our children are--or should be--reading now, from board books to young adult novels. Enriched with dozens of color illustrations and the voices of authors and illustrators themselves, it is a cornucopia of delight. 23 color, 153 b&w illustrations.",Literary Criticism,860.0,0.0,0.0,0.0,Unknown,en,0.0
Changing Attitudes To Education In India,K. Venkata Reddy,Atlantic Publishers & Dist,2002,"The 20Th Century Has Been A Period Of Educational Revolution. Momentous Changes Have Taken Place. Whereas The Education System In Advanced Countries Is Knocking At The Doors Of The 21St Century, It Stands Far Removed From Life In India, Groaning Under The Weight Of Accumulated Arrears Of Reforms. The Present Book Is A Modest Attempt At Crystallizing The Changing Attitudes To Education In India. Divided Into Ten Chapters, The Book Seeks To Pinpoint The Necessary Changes In Our Attitude To Education From Pre-School Education To Higher Education. It Seeks To Dilate Upon The Changing Attitudes To Children S Education, English Teaching In India, Instructional Methods, Role Of Teachers, Function Of Libraries, Aims And Objectives Of University Education, Non-Formal Education And Extension Education. It Also Focuses On The Right Kind Of Education The Country Needs Today And Highlights The Far-Reaching Significance Of Education For Tomorrow.",Attitude change,140.0,0.0,0.0,0.0,Unknown,en,0.0
Children's Books and Reading,Montrose Jonas Moses,Unknown,1907,Unknown,Juvenile Nonfiction,296.0,0.0,0.0,0.0,Unknown,en,0.0
Book Publishing in India,Kartar Singh Duggal,Unknown,1980,"Monograph on publishing in India - covers weakness in the distribution network, various types of books (paperbacks, comic and textbooks), library services, book clubs, role of multinational enterprises, copyright obligations, etc. Bibliography pp. 257 to 259.",Book industries and trade,290.0,0.0,0.0,0.0,Unknown,en,0.0
Children's Books in Print 1982-1983,,Unknown,1984,Unknown,Children's literature,904.0,0.0,0.0,0.0,Unknown,en,0.0
Catalogue of Books in the Children's Department of the Carnegie Library of Pittsburgh,Carnegie Library of Pittsburgh,Unknown,1909,Unknown,Children,618.0,0.0,0.0,0.0,Unknown,en,0.0
"Subject Guide to Children's Books In Print, 1980-1981",Bowker Editorial Staff,R. R. Bowker,1980,Unknown,Literary Criticism,504.0,0.0,0.0,0.0,Unknown,en,0.0
New Hampshire Public Libraries,,Unknown,1922,Unknown,,130.0,0.0,0.0,0.0,Unknown,en,0.0
"The United States Catalog; Books in Print January 1, 1912",Marion Effie Potter,Unknown,1921,Unknown,American literature,2174.0,0.0,0.0,0.0,Unknown,en,0.0
School Life,,Unknown,1926,Unknown,Education,20.0,0.0,0.0,0.0,Unknown,en,0.0
Bulletin of the New Hampshire Public Libraries,,Unknown,1919,Unknown,,452.0,0.0,0.0,0.0,Unknown,en,0.0
The Primary Plan Book,Marian Minnie George,Unknown,1912,Unknown,Children's poetry,392.0,0.0,0.0,0.0,Unknown,en,0.0
House documents,,Unknown,1886,Unknown,,1038.0,0.0,0.0,0.0,Unknown,en,0.0
List of Books of School Libraries for the State of Oregon,,Unknown,1907,Unknown,Best books,180.0,0.0,0.0,0.0,Unknown,en,0.0
The International Year Book,,Unknown,1902,Unknown,,1028.0,0.0,0.0,0.0,Unknown,en,0.0
Native Americans in Children's Literature,Jon C. Stott,Greenwood,1995-05-26,"Build high-interest theme lesson plans that accurately portray Native peoples and cultures with this authoritative guide to the best children's fiction. Professor Jon Stott describes books on Native Americans and their cultures for readers through junior high school age. This highly readable reference book also provides a balanced discussion of the disservice done to Native Americans by misleading, inaccurate, and insensitive books. Stott's perceptive text explains how some well-loved books make mistakes and reinforce stereotypes. He also includes valuable ideas on incorporating stories about Native American traditions and experiences into your lesson plans.",Education,272.0,0.0,0.0,0.0,Unknown,en,0.0
